PAGE,NAME,REAL NAME,REGION,NATIONALITY,TEAM,AGE,WEAPON,MAJOR APPEARANCES,LAST UPDATED
-Ace,-Ace,Brandon Winn,Americas,United States,,1995-4-7,AK47,0,2023-05-19
.exe,.exe,Aidan Vorster,,South Africa,Goliath Gaming,2003-5-15,AK47,0,2023-05-19
.PhP,.PhP,Marek Kádek,,Slovakia,,,AK47,0,2023-05-19
0i,0i,Liu Zhiwei,Asia-Pacific,China,Invictus Gaming,1996-06-18,AK47,0,2023-05-19
129,129,Yang Ting,Asia-Pacific,China,,,AK47,0,2023-05-19
18yM,18yM,Liu Yuchao,Asia-Pacific,China,steel helmet,1994-07-01,AK47,0,2023-05-19
1962,1962,Gabriel Hernan Sinópoli,Americas,Argentina,LRV Esports,1995-11-19,AK47,0,2023-05-19
1eeR,1eeR,Aleksandr Nahornyj,Europe,Belarus,Nemiga Gaming,2001-12-31,AK47,0,2023-05-19
1mpala,1mpala,Stefan Ajlazjan,Europe,Ukraine,S-Gaming,1999-2-27,AWP,0,2023-05-19
1obockZ',1obockZ',Luis Guerrero Pajares,Americas,Peru,,1990-2-09,AK47,0,2023-05-19
1uke,1uke,Aleksey Zimin,Europe,Russia,,1992-11-15,AWP,0,2023-05-19
333ed2k,333ed2k,Sun Shuhao,Asia-Pacific,China,,1999-12-14,AK47,0,2023-05-19
3ARK00Z,3ARK00Z,Omar Elyyan,Asia-Pacific,Jordan,,1998-04-30,AK47,0,2023-05-19
3DEEEE,3DEEEE,Juan Martin Herrlein,Americas,Argentina,,,AK47,0,2023-05-19
400kg,400kg,Evgeniy Gapchenko,Europe,Russia,,1980-04-08,AWP,0,2023-05-19
4sh0t,4sh0t,Sam Mariano,Americas,United States,,,AK47,0,2023-05-19
648,648,Gabriel Lemesi,Americas,Argentina,,1996-06-24,AWP,0,2023-05-19
720,720,Xiao Zhao,Asia-Pacific,China,,1992-7-20,AK47,0,2023-05-19
7oX1C,7oX1C,Jevghenij Vjacheslavovych Mocevyj,Europe,Ukraine,,2002-02-25,AK47,0,2023-05-19
813,813,ZhaoHeng Yu,Asia-Pacific,China,,1990-08-13,AWP,0,2023-05-19
9,9,Yida Qiao,Asia-Pacific,China,,1994-12-18,AWP,0,2023-05-19
AaroN,AaroN,Aaron Hemmings,Europe,United Kingdom,,1990-4-30,AK47,0,2023-05-19
Aaron,Aaron,Áron Homoki,Europe,Hungary,DomiNation eSports,1999-02-24,AK47,0,2023-05-19
AAustiN,AAustiN,Austin Urb,Americas,United States,,1998-6-17,AK47,0,2023-05-19
Abiii,Abiii,Abigail Glover,Europe,United Kingdom,,1992-11-29,AK47,0,2023-05-19
Abizz,abizz,Matias Muñiz Cusi,Americas,Argentina,,2004-09-01,AK47,0,2023-05-19
AbleJ,ableJ,Rinaldo Moda Júnior,Americas,Brazil,,1998-11-5,AK47,2,2023-05-19
ABM,ABM,Leonardo Martín Mariano Acuña,Americas,Argentina,Furious Gaming,1996-04-25,AK47,0,2023-05-19
ABR,ABR,Qian Kun,Asia-Pacific,China,,,AWP,0,2023-05-19
Abr,abr,Pedro Abrunhosa,Europe,Portugal,,1991-9-13,AK47,0,2023-05-19
Abr (Brazilian player),abr,Abraão Soares França Campagnac,Americas,Brazil,Meta Gaming,1999-02-15,AK47,0,2023-05-19
AcAp,acAp,Ashraf Firdaus,Asia-Pacific,Malaysia,,1993-12-20,AK47,0,2023-05-19
Ace,Ace,Tejas Sawant,Asia-Pacific,India,,1993-08-13,AK47,1,2023-05-19
