NAME,REAL NAME,REGION,NATIONALITY,TEAM,AGE,WEAPON,MAJOR APPEARANCES,EARNINGS,LAST UPDATED
Stikle-,Klesti Kola,Europe,Albania,Bad News Eagles,05/07/1998,AK47,0,"$1,207",14/10/2022
ChrissK,Christoph Kröll,Europe,Austria,,16/05/1997,AWP,0,"$5,746",14/10/2022
Dukiiii,Dusan Ivkovic,Europe,Austria,,26/07/1996,AK47,0,"$8,741",14/10/2022
Kakafu,Alexander Szymanczyk,Europe,Austria,OG,09/04/1989,AK47,0,"$2,919",14/10/2022
NinoZjE,Anel Zukić,Europe,Austria,EPIC DUDES,30/06/1999,AK47,0,"$5,316",14/10/2022
Orbit,Manuel Sailer,Europe,Austria,Sissi State Punks,26/03/2002,AK47,0,"$4,918",14/10/2022
ReacTioNNN,Alexander Grassauer,Europe,Austria,DIVIZON,20/02/2001,AK47,0,"$7,914",14/10/2022
S3NSEY,Efekan Topaloglu,Europe,Austria,Sangal Esports,17/05/2003,AWP,0,"$7,871",14/10/2022
SesL,Michael Higatzberger,Europe,Austria,Entropiq Prague,30/06/2000,AWP,0,"$6,120",14/10/2022
TWEEZYCS,Amir Zhuta,Europe,Austria,,17/04/2001,AK47,0,"$2,348",14/10/2022
XTreMe,Jonathan Steinhöfler,Europe,Austria,,14/11/2000,AK47,0,"$4,194",14/10/2022
AntO_oNNN,Anton Van Gorp,Europe,Belgium,Complexity Gaming,18/07/1995,AK47,0,0$,14/10/2022
Claeys,Yordi Claeys,Europe,Belgium,,,,0,"$2,848",14/10/2022
FARIS,Faris Ait-lalla,Europe,Belgium,,16/12/1992,AK47,0,"$6,065",14/10/2022
Infernal,Nasrat Shafaq,Europe,Belgium Afghanistan,,25/01/1998,AK47,0,"$3,526",14/10/2022
Keoz,Nicolas Dgus,Europe,Belgium,Team GamerLegion,29/12/2000,AK47,1,"$63,986",14/10/2022
KllyVe,Kelly Verhaegen,Europe,Belgium,,30/09/1993,AK47,0,"$20,168",14/10/2022
Kzealos,Jarne Van Ransbeeck,Europe,Belgium,,14/08/2000,AK47,0,"$6,902",14/10/2022
MetaL,Benoit Guelette,Europe,Belgium,,24/09/1991,AK47,0,"$13,572",14/10/2022
Monu,Fréderic Dewever,Europe,Belgium,,,AK47,0,"$8,015",14/10/2022
Nexius,Bram Campana,Europe,Belgium,MOUZ NXT,19/12/2003,AK47,0,"$4,665",14/10/2022
RitchiEE,Richard Mestdagh,Europe,Belgium,eClub Brugge,28/08/1998,AK47,0,"$17,573",14/10/2022
Simix,Robin Bynens,Europe,Belgium,eClub Brugge,14/07/1995,AK47,0,"$15,951",14/10/2022
Stev0se,Steven Rombaut,Europe,Belgium,eClub Brugge,23/06/1993,AWP,0,"$19,498",14/10/2022
To1nou,Antoine Pirard,Europe,Belgium,,10/06/1995,AWP,0,"$60,947",14/10/2022
YNc,Yannick Van Boven,Europe,Belgium,,,AK47,0,"$9,306",14/10/2022
HuNter-,Nemanja Kovač,Europe,Bosnia and Herzegovina Serbia,G2 Esports,03/01/1996,AK47,3,"$385,066",14/10/2022
NiKo,Nikola Kovač,Europe,Bosnia and Herzegovina,G2 Esports,16/02/1997,AK47,11,"$978,017",14/10/2022
